Date,Open,High,Low,Close
12/31/2008,0.000000,0.252858,-0.090000,-0.088571
1/2/2009,0.000000,0.737142,-0.102858,0.695714
1/5/2009,0.000000,0.430000,-0.065714,0.201429
1/6/2009,0.000000,0.174286,-0.508572,-0.418572
1/7/2009,0.000000,0.098572,-0.221428,-0.114285
1/8/2009,0.000000,0.388572,-0.055714,0.324286
1/9/2009,0.000000,0.024286,-0.438571,-0.375714
1/12/2009,0.000000,0.075714,-0.415714,-0.257143
1/13/2009,0.000000,0.214286,-0.270000,-0.075714
1/14/2009,0.000000,0.144286,-0.217142,-0.130000
1/15/2009,0.000000,0.507143,-0.074285,0.401428
1/16/2009,0.000000,0.011429,-0.557143,-0.281428
1/20/2009,0.000000,0.010000,-0.532857,-0.532857
1/21/2009,0.000000,0.498571,-0.011429,0.491428
1/22/2009,0.000000,0.279999,-0.317143,0.045714
1/23/2009,0.000000,0.435715,-0.045715,0.220000
1/26/2009,0.000000,0.301429,-0.080000,0.111430
1/27/2009,0.000000,0.194285,-0.064286,0.077143
1/28/2009,0.000000,0.411428,-0.088572,0.297143
1/29/2009,0.000000,0.178571,-0.070000,-0.012858
1/30/2009,0.000000,0.145714,-0.370001,-0.352858
2/2/2009,0.000000,0.414286,-0.028572,0.344285
2/3/2009,0.000000,0.208571,-0.234287,0.151428
2/4/2009,0.000000,0.432858,-0.017142,0.047143
2/5/2009,0.000000,0.640001,-0.021429,0.527143
2/6/2009,0.000000,0.425714,-0.002858,0.385714
2/9/2009,0.000000,0.428572,-0.071428,0.358572
2/10/2009,0.000000,0.168571,-0.610001,-0.500000
2/11/2009,0.000000,0.277143,-0.085714,0.064286
2/12/2009,0.000000,0.560000,0.000000,0.491429
2/13/2009,0.000000,0.135714,-0.124286,0.024285
2/17/2009,0.000000,0.024285,-0.370000,-0.334286
2/18/2009,0.000000,0.114286,-0.332857,-0.097143
2/19/2009,0.000000,0.125714,-0.465715,-0.390001
2/20/2009,0.000000,0.428572,-0.057142,0.257143
2/23/2009,0.000000,0.050001,-0.734286,-0.671428
2/24/2009,0.000000,0.491428,-0.064285,0.400001
2/25/2009,0.000000,0.437142,-0.087143,0.185714
2/26/2009,0.000000,0.131427,-0.434287,-0.401430
2/27/2009,0.000000,0.481428,-0.037144,0.197143
3/2/2009,0.000000,0.439999,-0.064287,-0.025715
3/3/2009,0.000000,0.258571,-0.150000,-0.080000
3/4/2009,0.000000,0.370000,-0.104286,0.141428
3/5/2009,0.000000,0.201429,-0.287142,-0.231429
3/6/2009,0.000000,0.008572,-0.858571,-0.434285
3/9/2009,0.000000,0.488572,-0.230000,-0.152857
3/10/2009,0.000000,0.614285,-0.072857,0.537142
3/11/2009,0.000000,0.608571,-0.032857,0.410000
3/12/2009,0.000000,0.525715,-0.128570,0.492858
3/13/2009,0.000000,0.128572,-0.184286,-0.052857
3/16/2009,0.000000,0.122857,-0.335714,-0.158571
3/17/2009,0.000000,0.635714,-0.024285,0.631429
3/18/2009,0.000000,0.510000,-0.027143,0.230000
3/19/2009,0.000000,0.192857,-0.228572,-0.032857
3/20/2009,0.000000,0.145714,-0.217143,-0.071429
3/23/2009,0.000000,0.778571,-0.137143,0.707143
3/24/2009,0.000000,0.440001,-0.138570,0.020001
3/25/2009,0.000000,0.111429,-0.531428,-0.155714
3/26/2009,0.000000,0.307144,-0.035714,0.291429
