Date,Open,High,Low,Close,Open_diff
12/31/2008,1.000000,1.020589,0.992672,0.992788,1.000000
1/2/2009,1.000000,1.060084,0.991616,1.056707,1.006210
1/5/2009,1.000000,1.032307,0.995063,1.015134,1.026667
1/6/2009,1.000000,1.012715,0.962897,0.969463,1.014485
1/7/2009,1.000000,1.007516,0.983117,0.991286,0.986992
1/8/2009,1.000000,1.030079,0.995687,1.025102,0.993627
1/9/2009,1.000000,1.001824,0.967064,0.971784,1.005502
1/12/2009,1.000000,1.005859,0.967831,0.980102,0.998675
1/13/2009,1.000000,1.016999,0.978581,0.993994,0.995263
1/14/2009,1.000000,1.011712,0.982375,0.989448,0.983240
1/15/2009,1.000000,1.044061,0.993546,1.034876,0.944217
1/16/2009,1.000000,1.000949,0.953737,0.976631,1.011034
1/20/2009,1.000000,1.000854,0.954473,0.954473,0.995141
1/21/2009,1.000000,1.043960,0.998992,1.043330,1.015217
1/22/2009,1.000000,1.022263,0.974784,1.003635,1.062900
1/23/2009,1.000000,1.035130,0.996314,1.017738,0.982571
1/26/2009,1.000000,1.023745,0.993698,1.008778,1.005659
1/27/2009,1.000000,1.015079,0.995011,1.005987,1.006136
1/28/2009,1.000000,1.031264,0.993270,1.022579,1.015320
1/29/2009,1.000000,1.013428,0.994736,0.999033,0.988217
1/30/2009,1.000000,1.011015,0.972030,0.973326,0.995699
2/2/2009,1.000000,1.032548,0.997755,1.027048,0.988572
2/3/2009,1.000000,1.015883,0.982158,1.011532,1.004480
2/4/2009,1.000000,1.032504,0.998713,1.003540,1.002581
2/5/2009,1.000000,1.048292,0.998383,1.039776,0.991662
2/6/2009,1.000000,1.030715,0.999794,1.027829,1.005806
2/9/2009,1.000000,1.030000,0.995000,1.025100,1.002808
2/10/2009,1.000000,1.011645,0.957860,0.965459,0.988489
2/11/2009,1.000000,1.020131,0.993774,1.004670,0.985076
2/12/2009,1.000000,1.040906,1.000000,1.035897,0.989775
2/13/2009,1.000000,1.009597,0.991211,1.001717,0.997179
2/17/2009,1.000000,1.001755,0.973263,0.975844,0.976906
2/18/2009,1.000000,1.008417,0.975487,0.992846,1.005501
2/19/2009,1.000000,1.009425,0.965085,0.970761,0.989403
2/20/2009,1.000000,1.033557,0.995526,1.020134,0.986319
2/23/2009,1.000000,1.003819,0.943917,0.948718,1.004934
2/24/2009,1.000000,1.039337,0.994854,1.032018,1.005750
2/25/2009,1.000000,1.034053,0.993212,1.014467,0.995679
2/26/2009,1.000000,1.010000,0.966956,0.969456,1.009215
2/27/2009,1.000000,1.038326,0.997043,1.015694,0.985873
3/2/2009,1.000000,1.034952,0.994893,0.997957,0.986676
3/3/2009,1.000000,1.020353,0.988193,0.993703,1.011258
3/4/2009,1.000000,1.028720,0.991905,1.010978,1.020482
3/5/2009,1.000000,1.015587,0.977780,0.982091,0.992212
3/6/2009,1.000000,1.000679,0.931967,0.965588,0.994372
3/9/2009,1.000000,1.040627,0.980874,0.987289,0.986870
3/10/2009,1.000000,1.050666,0.993991,1.044303,1.021177
3/11/2009,1.000000,1.047433,0.997439,1.031956,1.013314
3/12/2009,1.000000,1.039613,0.990312,1.037137,1.002374
3/13/2009,1.000000,1.009346,0.986604,0.996158,0.999481
3/16/2009,1.000000,1.008909,0.975655,0.988501,1.006255
3/17/2009,1.000000,1.046724,0.998215,1.046409,0.998114
3/18/2009,1.000000,1.035732,0.998098,1.016115,1.002509
3/19/2009,1.000000,1.013255,0.984291,0.997742,1.003251
3/20/2009,1.000000,1.009991,0.985111,0.995102,1.004625
3/23/2009,1.000000,1.053062,0.990653,1.048194,1.011025
3/24/2009,1.000000,1.028958,0.990880,1.001316,0.987925
3/25/2009,1.000000,1.007250,0.965421,0.989868,1.010141
3/26/2009,1.000000,1.019939,0.997682,1.018919,1.012583
3/27/2009,1.000000,1.002772,0.983092,0.987249,0.985073
3/30/2009,1.000000,1.004784,0.981820,0.999809,0.978100
3/31/2009,1.000000,1.018966,0.995733,0.996871,1.009187
4/1/2009,1.000000,1.047171,0.998079,1.044193,0.990202
4/2/2009,1.000000,1.041856,0.996732,1.023334,1.013341
4/3/2009,1.000000,1.016989,0.994133,1.015763,1.013131
4/6/2009,1.000000,1.033148,0.985558,1.030538,0.990947
4/7/2009,1.000000,1.001201,0.979919,0.986870,0.983791
4/8/2009,1.000000,1.011782,0.992636,1.007710,1.003739
4/9/2009,1.000000,1.013342,0.996116,1.009711,1.018054
4/13/2009,1.000000,1.008083,0.991584,1.001750,1.003680
4/14/2009,1.000000,1.005018,0.980597,0.989462,0.994593
4/15/2009,1.000000,1.008959,0.987713,1.003754,0.990618
4/16/2009,1.000000,1.033224,0.996644,1.018961,1.013176
4/17/2009,1.000000,1.025334,0.992326,1.018485,0.997777
4/20/2009,1.000000,1.010351,0.978888,0.989896,0.986307
4/21/2009,1.000000,1.027336,0.997561,1.024140,0.986639
4/22/2009,1.000000,1.022181,0.988339,0.990867,1.007145
4/23/2009,1.000000,1.004581,0.975438,0.990365,1.042054
4/24/2009,1.000000,1.004012,0.986601,0.994063,0.993939
4/27/2009,1.000000,1.017087,0.998047,1.014890,0.991929
4/28/2009,1.000000,1.023186,0.999270,1.004459,0.988936
4/29/2009,1.000000,1.016019,0.991830,1.002323,1.007667
4/30/2009,1.000000,1.006180,0.989701,0.996910,1.008630
5/1/2009,1.000000,1.017091,1.000000,1.011447,0.999762
5/4/2009,1.000000,1.031269,0.995633,1.029866,1.007859
5/5/2009,1.000000,1.008425,0.995218,1.007286,0.997577
5/6/2009,1.000000,1.001275,0.976675,0.993775,1.004672
5/7/2009,1.000000,1.000453,0.966523,0.975289,0.998717
5/8/2009,1.000000,1.016971,0.978456,1.001162,0.999845
5/11/2009,1.000000,1.028185,0.998037,1.017272,0.985912
5/12/2009,1.000000,1.001158,0.951297,0.960327,0.999923
5/13/2009,1.000000,1.006574,0.968915,0.969808,0.990275
5/14/2009,1.000000,1.031307,0.999332,1.026465,1.002427
5/15/2009,1.000000,1.018803,0.994196,1.000818,0.994876
5/18/2009,1.000000,1.024004,0.982543,1.023600,1.010701
5/19/2009,1.000000,1.019634,0.991484,1.004968,1.001342
5/20/2009,1.000000,1.012379,0.981744,0.986210,1.001412
5/21/2009,1.000000,1.013024,0.981942,0.992249,0.994280
5/22/2009,1.000000,1.001048,0.981459,0.987505,0.998953
5/26/2009,1.000000,1.048653,0.998317,1.048253,1.018449
5/27/2009,1.000000,1.024283,0.993398,1.009637,1.007646
5/28/2009,1.000000,1.014537,0.989359,1.012139,1.003006
5/29/2009,1.000000,1.003767,0.988625,1.003102,1.002369
6/1/2009,1.000000,1.025793,0.996556,1.021104,1.004860
6/2/2009,1.000000,1.016908,0.995395,1.003597,0.997417
6/3/2009,1.000000,1.007929,0.993357,1.006786,1.003656
6/4/2009,1.000000,1.028902,0.999358,1.025762,0.994182
6/5/2009,1.000000,1.007501,0.985548,0.995596,1.010923
6/8/2009,1.000000,1.002851,0.969476,1.000209,0.994124
6/9/2009,1.000000,1.005215,0.977331,0.992421,0.999722
6/10/2009,1.000000,1.000492,0.972027,0.985732,0.996917
6/11/2009,1.000000,1.014403,0.992834,1.002866,0.995009
6/12/2009,1.000000,1.002089,0.980045,0.986744,0.991854
6/15/2009,1.000000,1.006764,0.991765,1.000588,0.992991
6/16/2009,1.000000,1.013245,0.995902,0.997732,1.004188
6/17/2009,1.000000,1.005707,0.984342,0.992025,1.002347
6/18/2009,1.000000,1.013886,0.996180,0.998310,1.003909
6/19/2009,1.000000,1.010357,0.991526,1.010212,1.016117
6/22/2009,1.000000,1.006327,0.969148,0.976541,1.008532
6/23/2009,1.000000,1.004032,0.974194,0.982478,0.992939
6/24/2009,1.000000,1.015360,0.995865,1.005907,1.010522
6/25/2009,1.000000,1.032781,0.996022,1.030276,0.996550
6/26/2009,1.000000,1.026969,0.999642,1.018957,0.999499
6/29/2009,1.000000,1.003416,0.986616,0.989614,1.007161
6/30/2009,1.000000,1.008557,0.994529,0.998948,1.004297
7/1/2009,1.000000,1.008084,0.993171,0.995331,1.007512
7/2/2009,1.000000,1.011186,0.989664,0.991292,0.988938
7/6/2009,1.000000,1.002091,0.982336,0.999351,0.990573
7/7/2009,1.000000,1.008666,0.976170,0.977758,0.999062
7/8/2009,1.000000,1.015597,0.988964,1.009564,1.003840
7/9/2009,1.000000,1.001670,0.986716,0.989837,1.003935
7/10/2009,1.000000,1.019290,0.999853,1.015990,0.999853
7/13/2009,1.000000,1.020066,0.985595,1.020066,1.007364
7/14/2009,1.000000,1.008097,0.993874,1.001690,0.997822
7/15/2009,1.000000,1.013514,0.995036,1.012686,1.019470
7/16/2009,1.000000,1.015505,0.998696,1.012075,0.992375
7/17/2009,1.000000,1.019721,0.996982,1.017910,1.010575
7/20/2009,1.000000,1.011548,0.984472,0.997651,1.010016
7/21/2009,1.000000,1.000913,0.976907,0.988388,1.002485
7/22/2009,1.000000,1.005957,0.989353,0.993345,1.041450
7/23/2009,1.000000,1.011556,0.993169,1.007598,0.999298
7/24/2009,1.000000,1.019433,0.997133,1.019369,0.994487
7/27/2009,1.000000,1.004433,0.981832,0.999563,1.001125
7/28/2009,1.000000,1.007679,0.991944,1.007049,0.992380
7/29/2009,1.000000,1.009755,0.995909,1.007111,0.993125
7/30/2009,1.000000,1.018677,0.998763,1.006741,1.010436
7/31/2009,1.000000,1.012332,0.999509,1.002454,1.001229
8/3/2009,1.000000,1.008656,0.997942,1.007385,1.011139
8/4/2009,1.000000,1.003880,0.995634,1.003759,0.990987
8/5/2009,1.000000,1.009894,0.990709,0.996139,1.001208
8/6/2009,1.000000,1.005617,0.984962,0.989914,1.002847
8/7/2009,1.000000,1.006707,0.995831,1.000121,1.009639
8/10/2009,1.000000,1.005674,0.987927,0.994326,1.000906
8/11/2009,1.000000,1.004215,0.988942,0.994746,0.993747
8/12/2009,1.000000,1.025592,0.999446,1.016979,0.998280
8/13/2009,1.000000,1.012121,0.999100,1.010621,1.008106
8/14/2009,1.000000,1.001727,0.985650,0.993093,0.997150
8/17/2009,1.000000,1.000245,0.974748,0.975787,0.980633
